year,new_accounts,contributing,reduced,lapsed_holding,dormant,closed,holding,live_accounts,tier_none,tier_silver,tier_gold,tier_platinum,tier_sovereign,inflow_sip,inflow_spot,aum_usd,grams,bar_grams,fab_premium,gross_entry_fee,cost_of_revenue,gross_profit,cor_rail,cor_pricegap,cor_premium,cor_float,stream1_net,operating_cost,stream1_sip,stream1_spot,stream2,stream2_gross,stream3,stream4,stream5,stream6,revenue,cost_opex,cost_acquisition,cost_vault,cost_rewards,cost_card_fixed,cost_card_variable,cost_screening,cost_redemption,cost_oneoff,cost_family,cost_vat,total_cost,ebitda,tax,net_profit,active_cards,card_spend,partner_aum
1,770.113559235384,623.238551182578,3.4915844532611695,143.3834235995445,0.0,0.0,770.1135592353837,626.7301356358392,384.25311629609206,242.47701933974727,0.0,0.0,0.0,193592.83090190377,295707.8485468256,450535.7929750876,3184.89886169297,100,0.03,24051.097323920425,14423.170335139926,13320.55978805284,465.6828713956602,0.0,13957.487463744266,0.0,9627.926988780484,1391370.7491243687,3595.2464292893046,6032.680559491179,0.0,0.0,3692.632799272341,0.0,0.0,0.0,27743.730123192767,1035438.5127892807,77711.2035,9000.0,0.0,0.0,0.0,3729.052213368924,0.17474314839199834,264880.0,135.73735525412533,476.06852331636094,1405793.9194595085,-1378050.1893363157,0.0,-1378050.1893363157,0.0,0.0,0.0
2,2371.268424407032,2374.2622549385565,20.897437048531717,636.1141289255017,110.10816272982305,0.0,3141.381983642413,2395.159691987088,1149.938634141923,811.8775756808362,433.3434821643326,0.0,0.0,853457.4663214324,1543299.7700934992,2593199.0387647175,18331.677073128216,100,0.03,114408.60501926778,70724.87690323954,138979.67957393665,2254.4179613696188,0.0,68470.45894186992,0.0,43683.72811602816,1660087.0270532628,14456.712187190544,29227.015928837613,31339.832552718814,72362.05586584084,16845.237398133107,41998.13761960944,125.24388744705304,4987.5,209704.5564771762,1212557.313469934,227332.81062989065,9000.0,3561.4348790179138,188000.0,12012.178188346037,5119.907701349665,1.6589244155106284,0.0,642.7069185007722,1859.0163418081916,1730811.9039565022,-1521107.347479326,0.0,-1521107.347479326,366.2161011309535,4020114.214768936,9975000.0
3,5022.403213762565,5850.286539006395,67.58107423356871,1634.6292943457872,611.2882898192333,0.0,8163.7851974049845,5917.867613239964,2442.411752671539,1783.4978678097066,1691.9579927587163,0.0,0.0,2208572.7609062265,4499475.602818747,8488672.260704733,60007.57995691173,1000,0.02,247249.9432369678,192809.96094129194,771392.9112246437,6212.943555686193,13438.7,160368.07862652378,12790.238759081954,54439.98229567572,2324111.2809862304,6068.2347832775185,48371.7475123982,279520.2045652366,441543.690265342,44524.09088982947,242849.83085693084,4371.302616970994,145687.5,964202.8721659357,1544649.5726582892,461845.86547725403,9750.416286266487,36795.307522111834,180000.0,74666.79168067733,11372.511655914534,6.713886141387096,0.0,1739.2876207137415,3284.8141988620173,2516921.2419275222,-1552718.3697615867,0.0,-1552718.3697615867,1500.4361809179352,24530205.014741223,40687500.0
4,7545.261173839705,10573.41173128043,157.72368491767128,3059.528371802131,1918.3825832444384,0.0,15709.04637124467,10731.135416198102,3681.188488815833,2799.581751113558,3981.9191231316854,268.4460531370246,0.0,4241534.017756643,9665390.218915697,20319136.24517581,143638.74059929172,1000,0.02,500888.35525304836,332058.6459147042,2342394.9503090642,12509.982952098691,28292.000000000004,268120.7176283859,23135.945334219672,168829.70933834423,3090020.982993291,28993.742899750876,139835.96643859337,970986.2586238593,1319656.1900645443,85874.67000209646,702744.4656575856,15484.846687178484,398475.0,2674453.5962237683,1832641.4135495313,683314.1869206934,21516.570408773612,121976.4746485771,180000.0,223011.76511521277,18329.496653086608,18.711726190251724,0.0,3436.068215325967,5776.295755900158,3422079.6289079953,-747626.0326842271,0.0,-747626.0326842271,4025.030610821888,72677697.56980129,92100000.0
5,9989.548831190048,16260.969655861354,298.29433918412434,4737.331000754355,4402.000206634911,0.0,25698.595202434746,16559.26399504548,4868.045186927181,3845.4333673370943,6790.490072540993,1055.2953682401965,0.0,6781700.203216664,17062596.20499398,39878743.03393695,281908.2640600661,1000,0.02,841606.8596502477,536025.0645709331,4885144.912686917,20764.283805767427,28292.0,460053.7909712079,26914.989793957775,305581.7950793147,4199296.676313907,56901.22636929904,248680.56871001565,2152911.2245647227,2912206.381852553,136879.8280723841,1488202.1569952723,38707.40797522337,762862.5,5421169.977257851,2207532.9084954318,928979.5456915773,45352.02419858093,305067.9288200348,180000.0,491890.56090441835,26041.478293994594,40.89056296099689,0.0,5599.6192135427555,8791.720133365718,4735321.7408848405,685848.2363730101,6241.660199264067,679606.576173746,7917.955671302996,158564900.95714927,160462500.0
6,12044.87048400615,22436.956316631135,489.9070506658776,6518.836416965193,8297.765902178671,0.0,37743.465686440875,22926.863367297014,5854.749839424663,4776.547307724738,9642.489488079244,2527.228892682986,125.84783938539032,9641375.721466124,26513845.140999082,68551201.05284241,484597.77359566244,1000,0.02,1072185.5528842022,793818.0140479266,8323271.887417585,30468.386887650027,28292.0,701660.7061916201,33396.92096865655,278367.53883627546,5683430.374937311,33863.25293247,244504.28590380543,3958866.526587043,5326309.472200088,193157.45746717078,2596817.715626275,77575.14890081955,1218487.5,9117089.901465511,2648600.1308820364,1185419.6976284364,81995.07634628295,633325.8457273826,180000.0,901802.5302383646,33845.50252988036,76.1329693788696,0.0,8072.165940664097,10293.292674884555,6477248.388985237,2639841.512480274,50206.508911677505,2589635.003568596,13245.605188501791,286352954.6870158,242587500.0
7,13510.94759224265,28572.075102584477,726.3774659534395,8235.61007458535,13720.350635560288,0.0,51254.413278683554,29298.452568537916,6547.67935442259,5505.889591620784,12342.326758444817,4410.0305499718625,492.52631407785884,12577479.746044973,37503585.785283245,106539190.80620967,753140.0452863683,12400,0.0075,1455398.3688095189,1061664.249942854,12966002.171755202,40888.60012153708,82046.80000000002,858694.0976295085,80034.75219180826,393734.1188666627,7569492.212208949,17227.85162227317,376506.2672443895,6443018.785277766,8623470.440328086,249451.50246955955,4009177.571285697,134070.19385551382,1736550.0,14027666.421698056,3127519.08793795,1447733.487446612,132598.5567378088,1146278.1716509885,180000.0,1470491.913436777,41190.64889372803,126.33463910203844,0.0,10647.87757934487,12906.133886637737,8631156.462151803,5396509.959546252,233024.8547540997,5163485.1047921525,19881.0893088942,458140681.1422894,332025000.0
8,14286.862252336476,34166.39899122033,995.687121399067,9735.669513991537,20643.519904409164,0.0,65541.2755310201,35162.0861126194,6905.688703655656,5968.829613731509,14603.782435775258,6434.460510876385,1249.3248485805177,15343411.04792807,48339086.71304986,152574291.6042806,1078568.440578825,12400,0.0075,1496869.1717224133,1150948.9961780396,18397397.09406881,50974.41695862309,350820.8,466392.2144194164,282761.5648,345920.1755443708,9846049.868080696,-158041.19721288225,503961.372757253,9594125.038638733,12779341.60462723,300790.68292087485,5672749.205032841,207261.99193198886,2276550.0,19548346.090246852,3614528.2778261323,1710274.016546573,196622.66913233759,1867274.440359496,180000.0,2203934.9300165884,47655.30827337108,191.806070190801,0.0,13113.42099430081,12454.998861705404,10996998.864258735,8551347.225988116,760431.3252198017,7790915.9007683145,27594.379925000136,671816692.2093209,422025000.0
9,14221.44269022548,38697.03428998881,1281.0947609036978,10874.989347511906,28909.59982284109,0.0,79762.71822124551,39978.12905089251,6870.063949688616,6087.902273366875,16234.065397211718,8468.949525092215,2317.147905533026,17696359.82513759,55827156.53011355,201824233.2697246,1426722.9836683485,12400,0.0075,1688298.491438394,1231624.194319531,24774690.02202038,59277.69554093554,350820.80000000005,538764.1339785955,282761.5648,456674.2971188582,12460091.225171303,-135909.60529689133,592583.9024157495,13366632.883457609,17726215.82388702,342352.8710907658,7527131.710527601,290210.7598255432,2791687.5,26006314.216339912,4079126.2585432855,1944432.522395702,268712.9364421946,2808523.410565349,180000.0,3097427.214797822,52677.67624787629,268.22609934440584,0.0,15251.298888320385,13671.681191410185,13691715.419490835,12314598.796849078,1099123.9665972881,11215474.830251789,36155.17447525154,923152842.9702919,502050000.0
10,13523.201831275936,41908.79077926743,1563.6017859868714,11578.732691194498,38234.794796072434,0.0,93285.92005252124,43472.392565254304,6541.136022972504,5915.975625907753,17056.002062297313,10309.575682892999,3649.703171183746,19465874.01953737,61276390.37942305,251297975.37012452,1776459.6025033544,12400,0.0075,1811499.7990591233,1291196.23723916,31623137.603581056,65633.13793990029,350820.8,591980.7344992597,282761.5648,520303.5618199594,15341096.124764716,-123635.94799744454,643939.5098174039,17640757.5429641,23300506.01226397,371183.03018399066,9481244.946932903,373923.5216801001,3235725.0,32914333.84082022,4499752.046372533,2144821.733861604,343121.7828382835,3958545.427995719,180000.0,4126970.482562384,56378.68382813292,349.835980483262,0.0,16902.753737454117,14253.377588123141,16632292.362003876,16282041.478816342,1456193.807974342,14825847.670842,45096.599989327035,1203179232.938505,571312500.0
