year,new_accounts,contributing,reduced,lapsed_holding,dormant,closed,holding,live_accounts,tier_none,tier_silver,tier_gold,tier_platinum,tier_sovereign,inflow_sip,inflow_spot,aum_usd,grams,bar_grams,fab_premium,gross_entry_fee,cost_of_revenue,gross_profit,cor_rail,cor_pricegap,cor_premium,cor_float,stream1_net,operating_cost,stream1_sip,stream1_spot,stream2,stream2_gross,stream3,stream4,stream5,stream6,revenue,cost_opex,cost_acquisition,cost_vault,cost_rewards,cost_card_fixed,cost_card_variable,cost_screening,cost_redemption,cost_oneoff,cost_family,cost_vat,total_cost,ebitda,tax,net_profit,active_cards,card_spend,partner_aum
1,603.2952583521927,408.79729142578054,0.8284384549804892,193.66952847143173,0.0,0.0,603.2952583521927,409.625729880761,267.8214378524669,141.80429202829427,0.0,0.0,0.0,145590.18925240368,10661.637722818405,116849.83581562311,826.027398668338,100,0.03,7701.364795215729,8369.809358632283,83.82205047609196,3913.2954932320918,0.0,4456.51386540019,0.0,-668.4445634165522,1372591.366912488,-881.9204232526281,213.47585983607584,0.0,0.0,752.2666138926451,0.0,0.0,0.0,8453.631409108375,1028718.8704360169,65903.7345,9000.0,0.0,0.0,0.0,3702.0366971588273,0.3273750901601551,264880.0,27.57196942883879,358.8259347931218,1380961.17627112,-1372507.544862012,0.0,-1372507.544862012,0.0,0.0,0.0
2,1621.8797180869976,1331.089868918018,4.007769421834864,748.9792045084696,141.0981335908672,0.0,2225.17497643919,1335.097638339853,723.5216713334178,470.96996563363354,140.6060013728026,0.0,0.0,538003.0202981223,49509.17115704731,452852.46769628447,3201.2757507159936,100,0.03,28314.34411647701,32195.384575762502,5569.035974759677,15419.449155601727,0.0,16775.935420160775,0.0,-3881.0404592855048,1556415.306312652,-4816.901523531067,935.8610642455621,2128.3054104219127,4914.147347451641,2880.0477695118675,2002.8291205490093,0.5608002290504356,2438.3333333333335,37764.42055052218,1174035.134888361,177624.68179748746,9000.0,0.0,188000.0,2303.431577049156,4155.498049607775,2.304956152727104,0.0,108.59261030806887,1185.662433685882,1588610.6908884146,-1550846.2703378925,0.0,-1550846.2703378925,67.71514416463515,273008.1859695356,4876666.666666667
3,2929.5931828770645,2766.826297659252,10.671052772386837,1676.3793462923798,700.8914625922413,0.0,5154.76815931626,2777.4973504316386,1311.8712304976782,990.7948946083087,474.83122532565295,0.0,0.0,1181614.0153824755,125784.33612312739,1036056.7302035139,7324.026086551066,100,0.03,49035.35043365973,81909.30450803714,42550.853388816395,35337.100885114516,4951.099999999999,37750.89003215829,3870.213590764333,-32873.95407437748,1951301.3660624991,-33391.533277451614,517.5792030741314,11554.859635823255,26679.574534512147,6479.403682711534,10460.205575146594,15.338569512415473,46915.0,124460.15789685353,1416151.2796246293,324597.894500466,9000.0,0.0,180000.0,12729.377531860864,6781.55051559771,6.97242225971833,0.0,248.7760473580531,1785.5154203276632,2033210.6705705363,-1908750.5126736828,0.0,-1908750.5126736828,244.93933743893982,1482198.585250675,10138333.333333332
4,3880.145117950936,4288.8791071214055,20.60259218477217,2754.495056333243,1970.936521627767,0.0,9034.913277267187,4309.481699306178,1744.6833711477896,1554.3172217263752,952.9563856051368,57.524720826873484,0.0,1934894.2706847014,234779.4051413091,1729433.7321581726,12225.602517730613,100,0.03,80018.77143349756,132886.03319115323,91807.13546555175,59650.897662032854,4951.099999999999,62689.64713177538,5594.388397344983,-52867.26175765575,2222861.0748567074,-54026.7992014225,1159.5374437667442,30688.933064961824,70414.7235481538,10746.281044286447,26533.244761658432,35.938352300707116,76670.0,224693.16865670498,1539210.985571226,445862.57087463944,9000.0,2480.1354110607203,180000.0,33407.0019920929,9780.59429744518,14.41948177758405,0.0,419.79335251033064,2685.5738759551514,2355747.1080478607,-2131053.9393911557,0.0,-2131053.9393911557,571.628825437245,3877410.252142466,14996666.666666666
5,4643.451218036608,5769.661265907823,32.54899905396718,3792.3181381902987,4083.836092151723,0.0,13678.364495303813,5802.21026496179,2087.190601980024,2112.3536851885083,1406.9481768486514,195.7178009446091,0.0,2673149.515840331,361738.00267579185,2408196.4548244616,17023.86861886372,100,0.03,110448.32292219385,184418.5080211949,164971.04689326356,84450.05952823137,4951.099999999999,87733.17586781787,7284.172625145647,-73970.18509900104,2542353.5391022316,-75803.17513666314,1832.9900376620838,60777.393138827094,138341.37237652094,14993.374405070534,49481.15551987748,59.30892848949612,113630.0,349389.5549144584,1678048.987776035,578528.6678535758,9103.612857606913,14635.870570462119,180000.0,65137.21304061603,12742.0113724468,23.191293741161633,0.0,594.1139411268431,3539.870396621235,2726772.0471234266,-2377382.4922089684,0.0,-2377382.4922089684,991.6116118592903,7531033.645838957,23301666.666666664
6,5104.939898986393,7035.693476768625,45.095100453264,4682.503635368882,7020.012181699411,0.0,18783.304394290182,7080.78857722189,2293.542282660248,2596.393476259509,1771.6151418273419,403.16400569428146,16.07367078050121,3316380.437505078,493924.3011774802,2995538.0601827498,21175.866394618617,100,0.03,118063.20578722646,231486.11560276276,251837.0314766527,107011.31288116895,4951.099999999999,110767.24598685995,8756.456734733845,-113422.90981553633,2879948.001522654,-113330.68322249761,-92.22659303872022,101215.61342328049,228372.64127848006,18753.461795524272,77021.14871563701,79.71735774718334,168190.0,483323.14707941544,1823994.947380208,710868.8626096735,10971.009630575789,27536.740960056006,180000.0,106788.5707619138,15362.390254433038,32.06456812656976,0.0,752.5844819556341,3640.8308757119357,3111434.117125417,-2628110.9700460015,0.0,-2628110.9700460015,1490.0281148969987,12279795.138373738,31863333.333333332
7,5269.525436695846,7980.436224906242,56.84147243128488,5341.762404399158,10673.789729249373,0.0,24052.82983098606,8037.277697337528,2367.4047828781127,2963.0814391824115,2036.9680262373925,615.1300054030958,54.69344363653299,3801033.670844728,617034.2750242285,3416675.67431578,24152.945527469106,100,0.03,135309.79783062226,268378.2644706202,355711.1959393159,125078.64589398113,4951.1,128482.74444115003,9865.774135489044,-133068.46663999802,3229577.48587876,-132826.7187930732,-241.74784692481322,150771.49547264155,337467.53794243746,21657.635992455766,107586.73024964376,93.80086457280791,208670.0,624089.460409936,1970036.2314216667,841308.6521275941,12969.290590529807,45557.33761808367,180000.0,157232.60876686327,17541.762019400885,39.879286797687,0.0,879.3613772168,4012.3626706067794,3497955.75034938,-2873866.289939444,0.0,-2873866.289939444,2035.4777109340325,17947659.805867456,36996666.666666664
8,5186.467220309043,8563.795806611573,66.67401824087236,5738.187973841504,14870.639252601155,0.0,29239.297051295103,8630.469824852446,2331.9276673696704,3194.142379813276,2182.5158898224413,802.8143198380741,119.06956800895645,4099490.7020002785,706343.7813212534,3660040.126917528,25873.321977361287,100,0.03,121623.1576365612,293486.2485791796,443982.7483839743,137459.89969071868,4951.099999999999,140526.33977054912,10548.90911791175,-171863.09094261847,3583268.3988066036,-167771.71395012853,-4091.3769924899602,207268.07698984857,460592.660278915,23538.332245237012,139309.24109828944,100.1889932176702,245630.0,737468.996963154,2113406.64145079,968786.6669187282,14283.137963858966,68558.86591756958,180000.0,214484.89981704912,19272.8819937253,45.861006932546864,0.0,966.1764031107973,3463.267334838552,3876754.647385783,-3139285.650422629,0.0,-3139285.650422629,2596.899652513118,24263605.778076172,45301666.666666664
9,4879.152350554087,8770.077388433827,73.83908813276052,5867.775859250027,19406.757066032522,0.0,34118.44940184914,8843.916476566588,2199.5462489844413,3281.2868678058803,2216.749356582459,954.5006615723512,191.83334162146252,4208032.2888283245,728498.8651511138,3694769.8410489494,26118.831055061142,100,0.03,123472.20664286471,303780.1633886142,583890.6921863665,143639.94621853213,4951.099999999999,144391.7684200972,10797.348749984832,-180307.95674574963,3931813.123779664,-175876.93697097883,-4431.019774770805,268685.5304643034,593267.961113996,24341.38424820843,170883.0649888644,98.66923073982389,300190.0,887670.8555749807,2254475.4311250676,1085163.0593813902,14786.255440058036,95896.79583310298,180000.0,276536.24150746735,20513.687691204894,49.34621624047756,0.0,1009.6015308253367,3382.7050543075025,4235593.287168278,-3347922.4315932975,0.0,-3347922.4315932975,3158.068423376493,30993528.503503054,53863333.33333333
10,4447.358125976141,8652.184423506693,77.99961286511649,5763.43802207914,24072.185469374293,0.0,38565.80752782524,8730.18403637181,2012.5425335282341,3243.8140687679993,2150.955135514813,1056.1763355182575,266.6959630424858,4148944.1018511,718671.2370842526,3573657.9008439337,25262.674260172018,100,0.03,120427.37390236447,302082.7841356239,716606.1826003152,144053.94272928618,4951.099999999999,142415.63895098964,10662.102455348073,-181655.41023325955,4275581.224854244,-177063.82121757546,-4591.5890156841015,332416.52933802427,729839.9738730751,24171.73542326268,200912.40172829202,90.92634399564217,340670.0,1018688.966735939,2397783.773001851,1190330.8343762236,14568.073796596595,126484.58589187005,180000.0,340808.73518775566,21387.631878641216,50.275351095100376,0.0,1012.5168095962987,3154.7985606146467,4577664.008989868,-3558975.042253929,0.0,-3558975.042253929,3688.9974425545897,37850373.56781066,58996666.666666664
