year,new_accounts,contributing,reduced,lapsed_holding,dormant,closed,holding,live_accounts,tier_none,tier_silver,tier_gold,tier_platinum,tier_sovereign,inflow_sip,inflow_spot,aum_usd,grams,bar_grams,fab_premium,gross_entry_fee,cost_of_revenue,gross_profit,cor_rail,cor_pricegap,cor_premium,cor_float,stream1_net,operating_cost,stream1_sip,stream1_spot,stream2,stream2_gross,stream3,stream4,stream5,stream6,revenue,cost_opex,cost_acquisition,cost_vault,cost_rewards,cost_card_fixed,cost_card_variable,cost_screening,cost_redemption,cost_oneoff,cost_family,cost_vat,total_cost,ebitda,tax,net_profit,active_cards,card_spend,partner_aum
1,10090.883295319665,7356.13414239057,41.82838408072604,2692.920768848366,0.0,0.0,10090.883295319662,7397.962526471296,4482.311138163639,2915.6513883076623,0.0,0.0,0.0,2550112.2474430148,971325.1965660834,3090550.789982173,21847.52431770234,100,0.03,173244.3995391643,109373.94606481778,91194.26214455735,13421.06344828079,0.0,95952.88261653697,0.0,63870.45347434639,1686500.0224793488,42857.789493482574,21012.663980863807,0.0,0.0,27323.80867021082,0.0,0.0,0.0,200568.20820937512,1312903.2192420536,71807.469,9000.0,0.0,0.0,0.0,20627.510789566473,3.0597977346206515,264880.0,1003.5841956693314,6275.179454324774,1795873.9685441668,-1595305.7603347916,0.0,-1595305.7603347916,0.0,0.0,0.0
2,10550.734389321226,12603.693735174604,146.07148282223528,5899.759969575972,1992.0924970680753,0.0,20641.617684640885,12749.765217996839,4875.243445465636,3705.3206423437746,4169.201130187425,0.0,0.0,5581071.394087423,2738306.7888476546,9375095.557313966,66273.82692855906,1000,0.02,390296.5409029722,212956.42708135745,627600.6513533652,32191.2818020863,0.0,180765.14527927115,0.0,177340.1138216145,2424053.8317505964,109177.80752663787,68162.30629497665,183804.61042006014,424395.3590129074,61269.29662646628,201435.19247627354,204.7713422837422,3546.6666666666674,840557.0784347226,1771823.016968766,268602.70827270916,15859.322377318042,32657.08316995362,188000.0,107207.7584294207,25190.91914950739,19.530764523515618,0.0,2390.4617577936615,12303.030860604118,2637010.2588319536,-1796453.180397231,0.0,-1796453.180397231,3258.502207021905,23577519.94516152,7093333.333333334
3,11292.07204180381,17091.54114335388,282.2432291888802,7998.272862860788,6561.632491041213,0.0,31933.68972644476,17373.78437254276,5327.99007998292,4457.79763483779,7587.996657722,0.0,0.0,7770201.528340165,4266535.739650383,17094928.466761865,120846.3768327574,1000,0.02,430317.565373117,344295.9271778018,1737612.178020452,47646.940327882134,35365.0,232128.39405234862,29155.59279757104,86021.63819531472,3539127.6966442186,30058.523071440017,55963.11512387471,803603.3386133843,1497640.887435752,87501.00596537741,670579.2055920848,3986.989654290338,85920.0,2081908.1051982536,2267726.127579011,500498.91674048046,33710.89626863983,124803.40728631266,180000.0,386649.85506078455,30496.950422166625,46.15768282570885,0.0,3524.5211205964292,11670.864483401398,3883423.6238220204,-1801515.5186237667,0.0,-1801515.5186237667,6737.447671235997,83202271.52420844,21840000.0
4,12343.745848180344,21232.106400390207,433.9422606834668,9711.568815281144,12899.818098270225,0.0,44277.435574625044,21666.048661073673,5895.726807504919,5137.925670718816,8378.568658508968,2253.8275243409985,0.0,9682311.557719134,5825932.39267387,25435073.986630153,179804.0010365485,1000,0.02,542969.5761085651,429766.00667084183,3217550.150453645,61605.81032098975,35365.0,299305.48748568876,33489.70886416337,113203.56943772314,4592525.656904319,37431.816727419384,75771.75271030376,1677282.8553198974,2743747.036237498,110016.81245828095,1112617.8308167972,6989.082420945734,197440.0,3647316.1571244868,2601430.379417288,694833.4024774301,53942.40944381483,309876.91332266264,180000.0,698250.7737219852,36702.36312803233,78.68101566109911,0.0,4541.422009092983,12869.31236835146,5022291.66357516,-1374975.506450674,0.0,-1374975.506450674,10450.569863786057,148389031.35135996,43653333.333333336
5,13806.450129895797,25400.705936877624,594.1129963231948,11382.611258547182,20706.45551277287,0.0,58083.88570452087,25994.81893320082,6647.345004039722,5682.04300792205,9524.29093161985,4141.139989619168,0.0,11484220.74300163,7548954.444304861,34155517.14494349,241450.00102462526,1000,0.02,655660.0605252424,515744.03015313146,4864952.2514549745,75254.69126670274,35365.0,367550.302535625,37574.0363508037,139916.03037211075,5816383.120890826,42952.79408348879,96963.23628862196,2638919.029859725,4273720.027443414,131182.84491611132,1599835.8575235042,10058.488783523053,345040.0,5380696.281608106,2944807.768502552,895668.4127599051,75319.0504801285,577640.0479640965,180000.0,1079394.367105206,44122.92859277749,114.68882303849925,0.0,5527.765650397519,13788.09101272419,6332127.151043957,-951430.869435851,0.0,-951430.869435851,14646.789445664657,226409153.480995,70453333.33333333
6,15869.830006391849,30011.912125343555,762.416297925844,13243.140125519096,29936.247162124182,0.0,73953.71571091267,30774.3284232694,7691.418519105733,6427.563866643372,10854.462462432886,5220.53338896304,580.35018612435,13348419.715814156,9547885.36190317,43454873.41718143,307188.4166349599,1000,0.02,666732.5590160466,611562.7716200674,6560064.291340561,89806.76722352968,35365.0,444591.4503740256,41799.55402251209,55169.78739597885,7188720.836219449,-18489.527586826283,73659.31498280514,3699557.5514676743,5956016.687089007,153947.0597630219,2117038.692580522,12911.200133363185,521440.0,7171627.0629606275,3323670.826984793,1096790.7404015092,97855.02322294781,900470.5893485594,180000.0,1517590.3043815717,53290.803863390196,153.56117131385733,0.0,6572.422769638419,12326.564075724871,7800283.607839515,-628656.5448788877,0.0,-628656.5448788877,19046.886632035374,312251371.5900502,102053333.33333333
7,18913.839221393813,35650.28808993639,944.4267159386513,15547.18470895962,40725.655417472,0.0,92867.55493230667,36594.71480587504,9235.714968216922,7488.1927293128965,12520.611958428328,6246.239538730277,1103.9556111866118,15466663.304514823,11997900.723808145,53639091.83944586,379182.0432591959,1000,0.02,795701.8972654765,722177.3607978233,8462532.773862425,106834.21201977313,35365.0,533377.2426211499,46600.906156900266,73524.53646765315,8697471.807657152,-20218.429817853623,93742.96628550677,4816135.506301673,7727253.508614707,181249.3539229195,2662609.315369888,15574.061800291463,713440.0,9184710.134660248,3771860.030715278,1302474.6132958117,122176.60926027498,1248068.840909659,180000.0,1987255.9440017592,65190.88796244814,195.77408052291983,0.0,7789.259190676379,12459.848240722698,9419649.168454977,-234939.03379472764,0.0,-234939.03379472764,23700.684987306096,402840154.3562843,134053333.33333333
8,23816.357674224848,43398.24170476398,1153.3794161446326,18718.27568902034,53414.01579660224,0.0,116683.9126065312,44551.62112090862,11766.94868245983,9103.835272497103,14776.226927035725,7265.564632724624,1639.045606191419,18164562.45071753,14964888.308444973,65506004.42925638,463070.864055255,1000,0.02,794219.6032450241,863613.9105512036,10306555.625134256,128828.14321122758,35365.0,646704.6231183496,52716.14422162641,-69394.30730618064,10400730.212353617,-113196.20216675242,43801.89486057179,5992092.668045329,9594208.401403781,217709.9390871178,3242427.2258136845,18280.099494303886,905440.0,11170169.53568546,4345064.989082709,1518848.5698064847,149819.56808285404,1616533.4897008014,180000.0,2489214.9745562566,81947.4761771348,243.0847956387664,0.0,9367.062374285206,9690.997777452538,11264344.122904822,-94174.58721936261,0.0,-94174.58721936261,28639.319335760872,498689598.11397904,166053333.33333334
9,33272.37279633709,56101.15189779233,1418.689817209791,23760.642546399406,68675.80114146664,0.0,149956.28540286818,57519.84171500213,16871.369849084003,11903.725230999162,18146.312177428405,8605.42801088835,1993.0064466021956,22357850.459431384,18622505.891648464,80430297.34642895,568572.7226525445,1000,0.02,990484.298484767,1058741.6803227644,12318575.26369178,161358.3088961519,35365.0,799797.4410519016,62220.93037471113,-68257.38183799796,12333439.56208967,-130258.7852486329,62001.403410634935,7154948.008296624,11452319.69502369,274384.0815499583,3856569.2229288686,21171.332754325525,1079760.0,13377316.944014544,5165672.257581033,1742196.535575904,182920.06338026427,1948481.8795670087,180000.0,2984416.207185682,109638.2815495958,297.68254593178114,0.0,11732.997806797146,8083.656897455185,13392181.242412435,-14864.298397891806,0.0,-14864.298397891806,33689.16100639135,595148465.0333827,190960000.0
10,19799.360889130337,52270.395974659645,1739.2052461370106,27776.340001751498,87969.70506945088,0.0,169755.64629199903,54009.601220796656,1641.4763145685836,15644.155081818033,24100.015157399277,10138.085518250475,2485.8691487601855,26695649.2586882,23107064.55041645,97529200.19398531,689447.1949242564,1000,0.02,1185304.872736688,1271298.1110525613,16396704.818785857,191531.6580055088,35365.0,972348.1787273593,72053.27431969326,-85993.23831587403,15102719.185811728,-157644.7594779271,71651.52116205305,9641463.073383389,15453416.108867018,321779.31124672346,5272121.2705235025,26134.401948115043,1221200.0,17668002.92983842,5993276.361965109,2001768.257389007,226728.6208128944,2579095.0433265027,180000.0,4002834.654949133,98578.3936039199,374.3184662038996,0.0,13909.244392664068,6154.290906294713,16374017.29686429,1293985.6329741287,19924.751622789234,1274060.8813513394,58654.36390487258,805343734.4542966,215306666.6666667
