year,new_accounts,contributing,reduced,lapsed_holding,dormant,closed,holding,live_accounts,tier_none,tier_silver,tier_gold,tier_platinum,tier_sovereign,inflow_sip,inflow_spot,aum_usd,grams,bar_grams,fab_premium,gross_entry_fee,cost_of_revenue,gross_profit,cor_rail,cor_pricegap,cor_premium,cor_float,stream1_net,operating_cost,stream1_sip,stream1_spot,stream2,stream2_gross,stream3,stream4,stream5,stream6,revenue,cost_opex,cost_acquisition,cost_vault,cost_rewards,cost_card_fixed,cost_card_variable,cost_screening,cost_redemption,cost_oneoff,cost_family,cost_vat,total_cost,ebitda,tax,net_profit,active_cards,card_spend,partner_aum
1,687.3191735079096,508.2878371239204,2.713902256783,176.31743412720556,0.0,0.0,687.319173507909,511.0017393807034,324.7283080019761,186.27343137872734,0.0,0.0,0.0,168252.26019697372,63747.74134914482,204261.56015829317,1443.9527792895035,100,0.03,11420.813234660529,7496.484713180552,5715.716232788689,879.1090638368128,0.0,6617.3756493437395,0.0,3924.3285214799685,1381790.7389261448,2630.1932558271587,1294.1352656528097,0.0,0.0,1791.387711308712,0.0,0.0,0.0,13212.200945969242,1031907.4451492889,71807.469,9000.0,0.0,0.0,0.0,3715.6233156362323,0.1937905789432837,264880.0,65.74485919337852,414.2628114474187,1389287.2236393252,-1376075.022693356,0.0,-1376075.022693356,0.0,0.0,0.0
2,1815.1574666763279,1671.1077769777628,14.245231435318539,686.6802721700244,130.44335960113128,0.0,2502.476640184237,1685.3530084130814,846.35271631663,553.2959753839291,285.70431671252237,0.0,0.0,657038.6213722724,307045.56319271243,985632.7523158487,6967.572121559795,100,0.03,46124.7227959139,31158.58028815218,46824.847547425845,3619.796435080055,0.0,27538.783853072127,0.0,14966.14250776168,1598994.31942415,9166.857557324402,5799.284950437279,11160.835075726714,25769.79216148075,7073.978635758973,12193.055903528193,12.168757983572439,1418.6666666666667,77983.42783557803,1187318.572915283,202076.82535328253,9000.0,0.0,188000.0,6500.194700781145,4333.46996449904,1.6221426053113601,0.0,269.1540806982738,1494.4802670009071,1630152.8997123023,-1552169.4718767244,0.0,-1552169.4718767244,200.97126507930395,1431655.1200822638,2837333.3333333335
3,3300.887455106039,3563.4427449422874,40.476230257676924,1546.1697992115724,653.2753208787423,0.0,5803.36409529028,3603.9189751999643,1543.8652742577779,1086.607651862515,973.4460490796741,0.0,0.0,1510851.0954884682,804500.0670806433,2731068.4901697426,19306.294996251538,100,0.03,85600.70967415057,83621.92188057069,195112.40342545646,8569.107608492712,3536.5,66892.51358684881,4623.80068522916,1978.787793579756,2088205.2026093889,-2985.243086436501,4964.030880016257,77826.12993663781,142832.20370413526,16289.455657751445,64276.372604927936,373.6574325593984,34368.0,278734.32530602714,1451059.1102921886,390521.3068139187,9000.0,10174.748408147487,180000.0,36723.069468922724,7636.68453341695,5.751793590195015,0.0,634.4315842480565,2450.0997149561863,2171827.1244899593,-1893092.7991839324,0.0,-1893092.7991839324,737.0437541118649,7935122.428007515,8736000.0
4,4653.382777865216,5883.860607603081,84.6229718460977,2638.717404584806,1849.545889121494,0.0,10456.74687315548,5968.483579449179,2183.726497002015,1658.6498762657811,1971.7449830559021,154.36222312548568,0.0,2636896.660360622,1574640.271953329,5610066.493727134,39658.32386347472,100,0.03,152606.7574446439,147859.8578401117,512537.1913424124,15354.25872698482,3536.5000000000005,121767.90524607922,7201.1938670476475,4746.899604532081,2512538.906243234,-4842.373305283678,9589.272909815758,233020.6965980047,384386.4139038942,28460.18786828922,166260.53378177318,1072.8734898131213,78976.0,660397.0491825241,1614110.3006238206,555965.0001079165,10801.959494886074,36351.11031732234,180000.0,98565.56407208959,11588.914572489932,14.013049963268763,0.0,1132.0090307699197,4010.034973975907,2660398.764083346,-2000001.7149008217,0.0,-2000001.7149008217,1752.1676214483987,21139929.67001745,17461333.333333332
5,5839.336056688541,8415.187036735111,146.02183449816016,3815.0427123744234,3919.831346236339,0.0,16296.082929844033,8561.208871233272,2740.756906683641,2216.2817867953136,3075.429684958099,528.7404927962251,0.0,3900205.4696987197,2574499.449477509,9580490.87184407,67725.79437186533,1000,0.02,230517.2450788764,212367.25346341328,1010465.8228914372,23241.473089500236,19450.75,153422.16263481043,16252.867739102614,18149.991615463074,3058799.262440579,-3847.6218234056796,21997.613438868753,483384.36742570944,792378.5586028843,42078.57205641752,326603.6240558708,2233.26773797626,138016.0,1222833.0763548505,1811981.0147692487,736180.2886316003,19210.50549180414,85866.67416119881,180000.0,202425.06389108516,15691.525946053594,27.003551090394094,0.0,1706.488566778927,5710.697431718863,3271166.515903992,-2048333.4395491418,0.0,-2048333.4395491418,3233.770711871819,43034208.76429166,28181333.333333332
6,6694.937037480864,10878.333237236275,221.08819667265655,4943.5239243991655,6948.074609016793,0.0,22991.01996732489,11099.421433908932,3140.7040460332537,2681.086416425474,4120.262820096012,1116.1737763446106,41.19437500957437,5173950.426880592,3735753.4606743017,14460103.194284802,102220.43824603988,1000,0.02,267622.8095766438,263133.7515234073,1665192.3325552212,31426.640389526394,35365.0,172841.62155956498,23500.48957431592,4489.058053236531,3711566.6970796757,-18927.96390962045,23417.02196285698,849674.3132982022,1384086.0418790472,55631.64762588378,543018.1778489619,3803.1357289368734,208576.0,1928326.0840786286,2030999.123627834,918760.7439042499,30432.85272683931,170154.35107533066,180000.0,353027.38802953274,19548.739506423764,44.683638550141595,0.0,2298.229286560835,6300.585284354705,3974700.4486030834,-2046374.3645244548,0.0,-2046374.3645244548,5178.015529732524,74249612.88553996,40821333.333333336
7,7163.536484952647,13033.101157872525,303.97830246675215,5904.728914183542,10912.748077754744,0.0,30154.55645227756,13337.079460339277,3358.6972165442926,3003.803521685697,5017.642350742712,1817.0986418612636,139.83772950532145,6329268.204627355,4956985.049060868,19838237.06290129,140239.19880461818,1000,0.02,333122.8882203128,319393.98956308,2516921.1454920378,39076.90498989983,35365.0,219062.6073093582,25889.477263822006,13728.89865723257,4462238.98600965,-18820.84682881579,32549.74548604836,1334519.6803347198,2161743.9343639463,67676.23902618357,809985.5896497826,5634.737824118716,285376.0,2836315.135055118,2256970.3451680504,1100943.1283572437,43395.71123283176,295398.41691781196,180000.0,552224.6054974919,22924.298244119567,66.209487591619,0.0,2846.4624118110614,7469.808692697762,4781632.9755727295,-1945317.840517612,0.0,-1945317.840517612,7522.908193705812,114724875.91235545,53621333.333333336
8,7252.988471179605,14707.985399008652,387.80963011184076,6618.338075241448,15693.411819095205,0.0,37407.54492345714,15095.795029120492,3400.8036010778987,3167.793338344312,5673.228235851494,2540.0836600435046,313.886193803296,7266475.873476833,5989126.938674446,25196191.3584894,178115.30721397852,1000,0.02,318549.9400051862,367574.3895327748,3442545.934338138,45454.51744330547,35364.99999999999,258741.05744292188,28013.814646547493,-49024.44952758863,5294652.656014195,-57613.99483305752,8589.545305468895,1928772.3532414802,3108823.003585853,77152.92207794126,1115971.542852732,7497.565693573306,362176.0,3810120.3238709127,2478890.535704552,1280224.891803463,56986.427909544545,465004.4828311864,180000.0,797586.4334939036,25693.1503620723,90.0105019695846,0.0,3302.462538133179,6874.260869369839,5662227.045546969,-1852106.7216760567,0.0,-1852106.7216760567,10170.192454236872,163456752.19025195,66421333.333333336
9,6940.161257022476,15755.998568513345,465.53117930496836,7026.398073729725,21099.778358931693,0.0,44347.70618047973,16221.529747818313,3261.4616234145683,3153.615632338434,6052.545463710734,3219.64690901082,534.2601193437599,7910213.497237899,6522478.2683993215,29754420.710360568,210338.05111240328,1000,0.02,340072.82258977386,396607.13342895877,4539123.799498771,49916.80130760394,35365.0,281852.37886094896,29472.953260405906,-56534.310839185004,6179814.526930441,-64172.190458414174,7637.879619229174,2620541.0635875873,4205180.863191389,83257.20368296737,1450879.5768853282,9076.266182073354,431904.0,4935730.93292773,2688550.8066642084,1439364.0928950554,69386.41869949727,678974.1488602607,180000.0,1084924.7773406538,27669.619635111823,113.23182887866658,0.0,3626.9595790269714,7204.47142774806,6576421.660359399,-1640690.7274316698,0.0,-1640690.7274316698,13055.545249761828,219307814.80730975,76384000.0
10,6367.11471725639,16169.246934118317,531.0017562050319,7124.453900443543,26890.118306969136,0.0,50714.82089773603,16700.248690323348,3003.9988135210965,2997.6747186761404,6129.049285367369,3782.1548466103163,787.371026148418,8232897.303086458,6775117.482409475,33187620.195502065,234607.80570834203,1000,0.02,346862.06004299293,411120.3886581741,5707329.7355972305,52327.96426211931,35365.0,293223.0545090588,30204.36988699597,-64258.32861518165,7099494.38004728,-69697.76821555335,5439.439600371712,3387225.162196972,5413951.069792085,85779.82997598212,1799964.7809253896,10138.291114067368,488480.0,6118450.124255404,2884191.4791909833,1576931.7967724924,79305.64246750702,933431.0889997722,180000.0,1405499.992073079,28998.82052822508,133.3448426673488,0.0,3802.981931646594,7199.233240907531,7510614.768705454,-1392164.6444500498,0.0,-1392164.6444500498,16027.773032158413,280312146.66563153,86122666.66666666
