month,year,new_accounts,contributing,reduced,lapsed_holding,dormant,closed,holding,live_accounts,tier_none,tier_silver,tier_gold,tier_platinum,tier_sovereign,inflow_sip,inflow_spot,collection_events,spot_events,grams_bought,grams_withdrawn,grams_redeemed,grams_closing,grams_recycled,grams_sold_back,net_new_gram_share,aum_usd,float_grams,float_usd,fee_applied,pricegap_rate,bar_grams,fab_premium,gross_entry_fee,stream1_net,stream1_sip,stream1_spot,stream1a_gross_margin_pct,stream1a_net_pct,stream1b_gross_margin_pct,stream1b_net_pct,cor_premium,cor_pricegap,rail_passthrough_usd,floatcoc_memo,float_interest_expense,cost_of_revenue,gross_profit,stream2,stream2_gross,stream2_processor_fees,stream3,stream4,stream5,stream5_peak_drawn,stream5_avg_drawn,stream6,partner_aum,revenue,cost_vault,cost_screening,cost_rewards,cost_redemption,cost_card_fixed,cost_card_variable,cost_acquisition,cost_opex,cost_oneoff,cost_family,cost_vat,operating_cost,total_cost,ebitda,tax,net_profit,gold_px,margin_call_usd,grams_liquidated,active_cards,card_spend,card_spend_R1,card_spend_R2,card_spend_R3,card_spend_R4,live_R1,live_R2,live_R3,live_R4,float_movement,operating_cash,cash_flow,cumulative_cash,required_capital,total_funding_need
1,1,49.70103309914693,49.70103309914693,0.0,0.0,0.0,0.0,49.70103309914693,49.70103309914693,49.70103309914693,0.0,0.0,0.0,0.0,1888.6392577675833,794.5041481119299,49.70103309914693,0.9857371564664142,18.019130747812362,0.0,0.0,18.019130747812362,0.0,0.0,1.0,2548.9862355855366,200.0,28716.379999999997,0.05,0.10983696685296264,100,0.015,134.15717029397567,-198.78595657314065,-139.92355408743077,-58.862402485709865,0.03575000000000007,-0.07408696685296257,0.03575000000000002,-0.07408696685296264,38.23479353378306,294.70833333333337,12.671692563903337,191.44253333333333,0.0,332.94312686711646,-172.2787389202624,0.0,0.0,0.0,26.507217652878367,0.0,0.0,0.0,0.0,0.0,0.0,160.66438794685405,750.0,300.4910309929744,0.0,0.0,0.0,0.0,5254.772,100672.93552155573,127380.0,0.9542598355036213,4.721598144418959,234363.87441052863,234696.81753739575,-234536.1531494489,0.0,-234536.1531494489,141.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.70103309914693,0.0,0.0,0.0,28716.379999999997,-234536.1531494489,-263252.53314944886,-263252.53314944886,408441.1164057182,671693.6495551671
2,1,48.12972548558615,93.81143603800507,0.0444476339005671,3.974874912827446,0.0,0.0,97.83075858473308,93.85588367190563,93.85588367190563,0.0,0.0,0.0,0.0,3565.8568650239054,1583.7525001854797,93.85588367190564,1.9649534741755332,34.583125243524066,0.18897673960150665,0.12598449306767112,52.28729475866725,0.12598449306767112,0.0,0.9963570529794366,7396.56071656107,200.0,28716.379999999997,0.05,0.057229260014240016,100,0.015,257.48046826046925,-110.34247203125733,-76.40685603350988,-33.93561599774745,0.035801911995043054,-0.021427348019196966,0.03580191199504313,-0.021427348019196883,73.11460695839344,294.70833333333337,23.955209286520294,191.44253333333333,0.0,367.8229402917268,-60.28600073957455,0.0,0.0,0.0,50.056471291683,0.0,0.0,0.0,0.0,0.0,0.0,307.53693955215226,750.0,301.934922757542,0.0,0.0005291348708842188,0.0,0.0,5461.016,52516.12480787372,12500.0,1.8020329665005879,8.914642162559764,71539.79293489519,71907.61587518691,-71600.07893563475,0.0,-71600.07893563475,141.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.85588367190563,0.0,0.0,0.0,0.0,-71600.07893563475,-71600.07893563475,-334852.6120850836,408441.1164057182,743293.7284908018
3,1,51.28794307111748,137.90292351000863,0.12971450389681066,11.086063641945133,0.0,0.0,149.1187016558506,138.03263801390545,138.03263801390543,0.0,0.0,0.0,0.0,5243.294526969954,2442.7217095514084,138.03263801390545,3.030672096217628,51.616820477133416,0.569519835274645,0.3796798901830968,102.95491551034293,0.3796798901830968,0.0,0.9926442604043909,14564.002348093112,200.0,28716.379999999997,0.05,0.038343444024093856,100,0.015,384.3008118260681,-19.1276101187146,-13.048592451954079,-6.079017666760521,0.03585481928923756,-0.002488624734856298,0.03585481928923739,-0.0024886247348564717,108.72008861144988,294.70833333333337,35.26582752753077,191.44253333333333,0.0,403.4284219447833,54.48979682203441,0.0,0.0,0.0,73.61740694074956,0.0,0.0,0.0,0.0,0.0,0.0,457.9182187668177,750.0,303.47356104967554,0.0,0.0015946555387690066,0.0,0.0,5691.524,58851.92230608427,12500.0,2.6502266498669846,13.108236317424886,78112.67992475678,78516.10834670157,-78058.19012793475,0.0,-78058.19012793475,141.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.03263801390545,0.0,0.0,0.0,0.0,-78058.19012793475,-78058.19012793475,-412910.80221301835,408441.1164057182,821351.9186187366
4,1,67.75559404991463,195.5712674402519,0.2565560494385031,21.046472216074804,0.0,0.0,216.87429570576518,195.8278234896904,195.8278234896904,0.0,0.0,0.0,0.0,7437.608951866658,3585.4340972962395,195.8278234896904,4.44842940111196,74.02722251311148,1.1494437380042921,0.7662958253361948,175.06639846011393,0.7662958253361948,0.0,0.9896484590489603,24764.892726167716,200.0,28716.379999999997,0.05,0.02673566020008547,100,0.015,551.1521524581449,100.99145878602172,68.14225206042605,32.84920672559568,0.035897509458552336,0.009161849258466864,0.03589750945855242,0.009161849258466952,155.45236033879036,294.70833333333326,50.069063222700585,191.44253333333333,0.0,450.1606936721236,205.43296464718952,0.0,0.0,0.0,104.44150586116821,0.0,0.0,0.0,0.0,0.0,0.0,655.5936583193131,750.0,305.50622887117294,0.0,0.0032184424664120186,0.0,0.0,6091.88,65277.497587223384,12500.0,3.759894211002056,18.594022379666647,84947.2409511277,85397.40164479981,-84741.8079864805,0.0,-84741.8079864805,141.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.8278234896904,0.0,0.0,0.0,0.0,-84741.8079864805,-84741.8079864805,-497652.6101994988,408441.1164057182,906093.726605217
5,1,52.27101674392393,234.00615701737306,0.4375675157002402,34.7015879166158,0.0,0.0,269.1453124496891,234.4437245330733,234.4437245330733,0.0,0.0,0.0,0.0,8902.29801952128,4507.693152285371,234.4437245330733,5.5926714048205595,90.05720071551193,2.0215250430583045,1.3476833620388697,261.75439077052863,1.3476833620388697,0.0,0.985035251469828,37027.77611839898,200.0,28716.379999999997,0.05,0.021976773105781916,100,0.015,670.4995585903325,187.5585003846656,124.51176478245529,63.04673560221029,0.03596324766655503,0.013986474560773118,0.03596324766655498,0.013986474560773066,188.23272487233453,294.7083333333333,60.00909898447346,191.44253333333333,0.0,482.94105820566784,312.5951534689704,0.0,0.0,0.0,125.03665308430577,0.0,0.0,0.0,0.0,0.0,0.0,795.5362116746383,750.0,307.07435937349067,0.0,0.005660270120563253,0.0,0.0,5928.098,71662.09399701473,12500.0,4.501319511035008,22.255745048803206,91174.02908121819,91656.97013942387,-90861.43392774923,0.0,-90861.43392774923,141.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.4437245330733,0.0,0.0,0.0,0.0,-90861.43392774923,-90861.43392774923,-588514.044127248,408441.1164057182,996955.1605329663
6,1,50.75038735785438,269.0357009557708,0.6561137852400631,50.20388506653267,0.0,0.0,319.8956998075435,269.69181474101083,269.69181474101083,0.0,0.0,0.0,0.0,10238.44725337981,5426.533609035159,269.69181474101083,6.732671971507642,105.20098840162746,3.110495354985505,2.0736635699903365,361.7712202471802,2.0736635699903365,0.0,0.9802885543045121,51176.15681616612,200.0,28716.379999999997,0.05,0.01881319459766643,100,0.015,783.2490431207485,269.71483922716476,176.28244676038673,93.43239246677801,0.03603088810116074,0.01721769350349431,0.0360308881011607,0.017217693503494277,218.82587056025082,294.7083333333333,69.10612167812963,191.44253333333333,0.0,513.5342038935842,413.5504737557035,0.0,0.0,0.0,143.83563452853912,0.0,0.0,0.0,0.0,0.0,0.0,927.0846776492876,750.0,308.5968709942263,0.0,0.008709386993959414,0.0,0.0,5979.659,78060.55798656371,12500.0,5.178082843027409,25.59611813344953,97629.59676792141,98143.13097181499,-97216.0462941657,0.0,-97216.0462941657,141.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.69181474101083,0.0,0.0,0.0,0.0,-97216.0462941657,-97216.0462941657,-685730.0904214137,408441.1164057182,1094171.2068271318
7,1,48.503187014142924,300.3180173401766,0.9088465317901933,67.17202294971963,0.0,0.0,368.3988868216864,301.22686387196677,281.7825378052244,19.44432606674238,0.0,0.0,0.0,11187.32915096672,6207.977805167949,301.22686387196677,7.853266798442719,116.8530546237518,4.409275008276497,2.939516672184331,471.2754831904712,2.939516672184331,0.0,0.9748443317836312,66666.62985212407,200.0,28716.379999999997,0.04974179824711774,0.016941830004868114,100,0.015,865.2738490587344,328.85237954597,211.49266416146557,117.35971538450444,0.03584649092147215,0.018904660916604036,0.03584649092147225,0.018904660916604137,241.71313617943107,294.70833333333337,77.27003266760238,191.44253333333333,0.0,536.4214695127645,488.4696762207926,0.0,0.0,0.0,159.6172966748227,0.0,0.0,0.0,0.0,0.0,0.0,1024.891145733557,750.0,310.0519666046506,0.0,0.012345970023174191,0.0,0.0,5970.56,84467.42079241709,12500.0,5.783555786341764,27.823893477574273,104031.65255425568,104568.07402376844,-103543.18287803487,0.0,-103543.18287803487,141.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.7552823560363,20.471581515930495,0.0,0.0,0.0,-103543.18287803487,-103543.18287803487,-789273.2732994485,408441.1164057182,1197714.3897051667
8,1,51.508862115036194,333.474509966116,1.1919121166343238,85.24132685397231,0.0,0.0,419.90774893672267,334.66642208275033,295.838816198508,38.8276058842422,0.0,0.0,0.0,12212.72887146272,7046.335840167151,334.6664220827503,9.057523678440022,129.40088457848557,5.860782633800496,3.907188422533664,590.9083967126227,3.907188422533664,0.0,0.9698055509028315,83589.9017989676,200.0,28716.379999999997,0.04953592469011257,0.015302318038080496,100,0.015,954.0155791573019,393.0221719506539,249.22670432735273,143.79546762330116,0.035709444647573696,0.0204071266094932,0.03570944464757376,0.020407126609493266,266.28507387331433,294.7083333333333,85.93098644029757,191.44253333333333,0.0,560.9934072066476,569.4401247476283,0.0,0.0,0.0,176.41795279697388,0.0,0.0,0.0,0.0,0.0,0.0,1130.4335319542758,750.0,311.59723246810165,0.0,0.01641019137464139,0.0,0.0,6031.22,90909.78858415049,12500.0,6.425595303988804,30.248440881877045,110539.29626299582,111100.28967020247,-109969.8561382482,0.0,-109969.8561382482,141.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.092984120215,40.57343796253525,0.0,0.0,0.0,-109969.8561382482,-109969.8561382482,-899243.1294376968,408441.1164057182,1307684.245843415
9,1,63.59478293063819,377.4597602924505,1.5063263369963518,104.53644523791397,0.0,0.0,483.50253186736074,378.9660866294468,319.028862707042,59.93722392240484,0.0,0.0,0.0,13606.656141604366,8065.342252986933,378.96608662944675,10.527024465412138,145.6391137844877,7.442183610224312,4.961455740149542,724.1438711467365,4.961455740149542,0.0,0.9659332193720201,102437.39201241735,200.0,28716.379999999997,0.04936736055243897,0.013598576742552916,100,0.015,1069.889358637667,476.67710270005256,299.27934235333606,177.3977603467165,0.03559364586451339,0.021995069121960475,0.03559364586451345,0.021995069121960534,298.5039226042812,294.70833333333337,97.37327777371472,191.44253333333333,0.0,593.2122559376146,675.5956969598958,0.0,0.0,0.0,198.91859425984342,0.0,0.0,0.0,0.0,0.0,0.0,1268.8079528975104,750.0,313.50507595602085,0.0,0.020838114108628077,0.0,0.0,6273.860000000001,97442.96365871717,12500.0,7.276148863285379,33.58623498278204,117321.21195663336,117914.42421257097,-116645.61625967346,0.0,-116645.61625967346,141.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.6363762592097,64.3297103702371,0.0,0.0,0.0,-116645.61625967346,-116645.61625967346,-1015888.7456973703,408441.1164057182,1424329.8621030885
10,1,78.68471397060377,434.43872040485763,1.8611560489094343,125.88736938419754,0.0,0.0,562.1872458379646,436.29987645376707,348.3219701239584,87.97790632980862,0.0,0.0,0.0,15438.316369044413,9310.273190932472,436.299876453767,12.327341297880011,166.34470414781572,9.187279375820534,6.12485291721369,875.176443001518,6.12485291721369,0.0,0.9631797540619562,123802.45962699475,200.0,28716.379999999997,0.04919341800373733,0.01190808601916984,100,0.015,1217.4677112268726,582.7888755673249,363.54714338623535,219.24173218108956,0.035456453256622555,0.02354836723745271,0.03545645325662266,0.023548367237452822,339.97050232621444,294.70833333333337,112.15680443791176,191.44253333333333,0.0,634.6788356595478,810.7899880050775,0.0,0.0,0.0,228.00111243775262,0.0,0.0,0.0,0.0,0.0,0.0,1445.4688236646252,750.0,315.8656173751389,0.0,0.025724382252297496,0.0,0.0,6577.16,104093.16796740524,12500.0,8.37695762791233,37.97317752081711,124282.56944431138,124917.24827997093,-123471.7794563063,0.0,-123471.7794563063,141.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.45081837264945,92.84905808111759,0.0,0.0,0.0,-123471.7794563063,-123471.7794563063,-1139360.5251536765,408441.1164057182,1547801.6415593948
