pm_share,card_spend_aed,terminal_revenue,cum_net_profit,peak_funding
0.36,3500.0,2048959.1310541856,-14733563.645510366,15484677.150517933
0.36,6000.0,2574817.221014751,-13963243.096344236,14714356.601351801
0.36,9000.0,3205846.9289674303,-13014987.930525858,13766101.43553342
0.55,3500.0,2283868.5036917203,-14234264.93596442,14985378.440971982
0.55,6000.0,2977519.0026790965,-13101857.66204997,13852971.16705753
0.55,9000.0,3809899.601463948,-11722909.77908445,12474023.284092013
0.72,3500.0,2494050.5739463563,-13785317.646846987,14536431.151854549
0.72,6000.0,3337831.1231156155,-12331144.378734045,13082257.883741606
0.72,9000.0,4350367.782118727,-10566839.854110563,11317953.35911813
0.85,3500.0,2654778.039435196,-13442051.62583244,14193165.130840007
0.85,6000.0,3613363.921096483,-11741775.397374805,12492888.902382374
0.85,9000.0,4763666.979090029,-9682786.382071711,10456650.776868474
