region,region_name,band,share_of_region,channel,ticket,expected_paying_months,net_margin_per_contribution,ltv_entry_fee_only,ltv_all_streams,cac,ltv_cac_entry,ltv_cac_all,payback_month_entry_only
R1,UAE Indian,floor,0.4,Agent,20.0,29.4,0.715,20.99,414.87,72.0,0.292,5.762,100.7
R1,UAE Indian,floor,0.4,Referral,20.0,29.4,0.715,20.99,414.87,42.0,0.5,9.878,58.7
R1,UAE Indian,floor,0.4,Direct,20.0,29.4,0.715,20.99,414.87,120.0,0.175,3.457,167.8
R1,UAE Indian,floor,0.4,B2B,20.0,29.4,0.715,20.99,414.87,0.0,,,never
R1,UAE Indian,standard,0.6,Agent,50.0,29.4,1.7875,52.48,414.87,72.0,0.729,5.762,40.3
R1,UAE Indian,standard,0.6,Referral,50.0,29.4,1.7875,52.48,414.87,42.0,1.249,9.878,23.5
R1,UAE Indian,standard,0.6,Direct,50.0,29.4,1.7875,52.48,414.87,120.0,0.437,3.457,67.1
R1,UAE Indian,standard,0.6,B2B,50.0,29.4,1.7875,52.48,414.87,0.0,,,never
R2,UAE other South Asian,floor,0.6,Agent,20.0,29.4,0.715,20.99,363.0,72.0,0.292,5.042,100.7
R2,UAE other South Asian,floor,0.6,Referral,20.0,29.4,0.715,20.99,363.0,42.0,0.5,8.643,58.7
R2,UAE other South Asian,floor,0.6,Direct,20.0,29.4,0.715,20.99,363.0,120.0,0.175,3.025,167.8
R2,UAE other South Asian,floor,0.6,B2B,20.0,29.4,0.715,20.99,363.0,0.0,,,never
R2,UAE other South Asian,standard,0.4,Agent,35.0,29.4,1.2513,36.74,363.0,72.0,0.51,5.042,57.5
R2,UAE other South Asian,standard,0.4,Referral,35.0,29.4,1.2513,36.74,363.0,42.0,0.875,8.643,33.6
R2,UAE other South Asian,standard,0.4,Direct,35.0,29.4,1.2513,36.74,363.0,120.0,0.306,3.025,95.9
R2,UAE other South Asian,standard,0.4,B2B,35.0,29.4,1.2513,36.74,363.0,0.0,,,never
R3,Oman,floor,0.58,Agent,20.0,29.4,0.715,20.99,353.53,72.0,0.292,4.91,100.7
R3,Oman,floor,0.58,Referral,20.0,29.4,0.715,20.99,353.53,42.0,0.5,8.417,58.7
R3,Oman,floor,0.58,Direct,20.0,29.4,0.715,20.99,353.53,120.0,0.175,2.946,167.8
R3,Oman,floor,0.58,B2B,20.0,29.4,0.715,20.99,353.53,0.0,,,never
R3,Oman,standard,0.42000000000000004,Agent,34.285714285714285,29.4,1.2257,35.99,353.53,72.0,0.5,4.91,58.7
R3,Oman,standard,0.42000000000000004,Referral,34.285714285714285,29.4,1.2257,35.99,353.53,42.0,0.857,8.417,34.3
R3,Oman,standard,0.42000000000000004,Direct,34.285714285714285,29.4,1.2257,35.99,353.53,120.0,0.3,2.946,97.9
R3,Oman,standard,0.42000000000000004,B2B,34.285714285714285,29.4,1.2257,35.99,353.53,0.0,,,never
R4,India resident,floor,0.25,Agent,20.0,29.4,0.715,20.99,368.01,72.0,0.292,5.111,100.7
R4,India resident,floor,0.25,Referral,20.0,29.4,0.715,20.99,368.01,42.0,0.5,8.762,58.7
R4,India resident,floor,0.25,Direct,20.0,29.4,0.715,20.99,368.01,120.0,0.175,3.067,167.8
R4,India resident,floor,0.25,B2B,20.0,29.4,0.715,20.99,368.01,0.0,,,never
R4,India resident,standard,0.75,Agent,33.333333333333336,29.4,1.1917,34.99,368.01,72.0,0.486,5.111,60.4
R4,India resident,standard,0.75,Referral,33.333333333333336,29.4,1.1917,34.99,368.01,42.0,0.833,8.762,35.2
R4,India resident,standard,0.75,Direct,33.333333333333336,29.4,1.1917,34.99,368.01,120.0,0.292,3.067,100.7
R4,India resident,standard,0.75,B2B,33.333333333333336,29.4,1.1917,34.99,368.01,0.0,,,never
