year,bar_grams,premium,sip_ticket,spot_ticket,v1.0 assumed fee,tier discount applied,min viable fee SIP lane,min viable fee spot lane,min viable fee (binding),shortfall_pp,achievable,stream1_sip_net,stream1_net_total
1,100.0,0.03,49.13606075693367,691.2209554689578,0.05,0.0007569394952032932,0.049622422344217335,0.04503384554450497,0.049622422344217335,-0.03775776557826682,True,2630.193255827159,3924.3285214799685
2,100.0,0.03,45.84301815820491,653.3648672223984,0.05,0.0020651580479364856,0.03991858488923215,0.034995518354362196,0.03991858488923215,-1.008141511076785,True,9528.01506800632,15516.913107572822
3,100.0,0.03,43.828803371475146,627.2280388860836,0.04,0.0028834418366710662,0.041818342459588556,0.0337599089099619,0.041818342459588556,0.18183424595885553,False,-3099.3334714622197,2472.0252824368226
4,100.0,0.03,42.54239106056051,610.357184746096,0.04,0.003654693997384613,0.04181669607716277,0.03390545325402928,0.04181669607716277,0.18166960771627688,False,-5556.88909970257,5455.580619520565
5,1000.0,0.02,41.646885533106904,598.8271736086281,0.04,0.004304968432426247,0.03778552367065282,0.027953974802078972,0.03778552367065282,-0.22144763293471814,True,734.9955247088187,30741.26878800941
6,1000.0,0.02,40.971641863552954,590.3285178885133,0.035,0.00487579965689898,0.037928476709635936,0.028256518645036074,0.037928476709635936,0.29284767096359327,False,-17971.782360113823,11707.177164764726
7,1000.0,0.02,40.415669991539836,583.441990464983,0.035,0.005398012622133328,0.037432447420381404,0.028044829638827904,0.037432447420381404,0.24324474203814006,False,-18471.494440957737,22656.34118237591
8,1000.0,0.02,39.929166722592036,577.5130673412855,0.03,0.0058784318346426535,0.037358627279407974,0.028111808240689044,0.037358627279407974,0.7358627279407975,False,-64808.82437596356,-51105.46902661116
9,1000.0,0.02,39.49622448302211,572.2868309284889,0.03,0.006337082786847952,0.03756397976578417,0.028372753089324947,0.03756397976578417,0.756397976578417,False,-73268.2020397757,-60250.766548852574
10,1000.0,0.02,39.10622818615213,567.708884135189,0.03,0.0067742533371718296,0.03790842341185749,0.02871710682959114,0.03790842341185749,0.790842341185749,False,-80548.2103226596,-69777.25501384691
