month,year,new_accounts,contributing,reduced,lapsed_holding,dormant,closed,holding,live_accounts,tier_none,tier_silver,tier_gold,tier_platinum,tier_sovereign,inflow_sip,inflow_spot,collection_events,spot_events,grams_bought,grams_withdrawn,grams_redeemed,grams_closing,aum_usd,float_grams,float_usd,fee_applied,pricegap_rate,bar_grams,fab_premium,gross_entry_fee,stream1_net,stream1_sip,stream1_spot,cor_premium,cor_pricegap,cor_float,cor_rail,cost_of_revenue,gross_profit,stream2,stream2_gross,stream2_processor_fees,stream3,stream4,stream5,stream5_peak_drawn,stream5_avg_drawn,stream6,partner_aum,revenue,cost_vault,cost_screening,cost_rewards,cost_redemption,cost_card_fixed,cost_card_variable,cost_acquisition,cost_opex,cost_oneoff,cost_family,cost_vat,operating_cost,total_cost,ebitda,tax,net_profit,gold_px,margin_call_usd,grams_liquidated,active_cards,card_spend,card_spend_S1,card_spend_S2,card_spend_S3,card_spend_S4,card_spend_S5,card_spend_S6,live_S1,live_S2,live_S3,live_S4,live_S5,live_S6
1,1,49.70103309914694,49.70103309914693,0.0,0.0,0.0,0.0,49.70103309914693,49.70103309914693,49.70103309914693,0.0,0.0,0.0,0.0,2563.344245980001,710.7374259733975,49.70103309914693,0.9857371564664144,21.987682654854574,0.0,0.0,21.987682654854574,3110.377588355728,200.0,0.0,0.05,0.0900125173595633,100,0.03,163.70408359766992,57.721063383094915,42.68664301378342,15.034420369311494,93.31132765067184,0.0,0.0,12.671692563903337,105.98302021457518,84.2282810359731,0.0,0.0,0.0,26.507217652878367,0.0,0.0,0.0,0.0,0.0,0.0,190.21130125054827,750.0,300.4910309929744,0.0,0.0,0.0,0.0,5254.772,100672.93552155573,127380.0,0.9542598355036213,6.408360614950003,234365.56117299915,234471.54419321372,-234281.33289196316,0.0,-234281.33289196316,141.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.30391489461612,19.880413239658775,8.51670496487204,0.0,0.0,0.0
2,1,48.11900253655254,93.8007130889714,0.0444476339005671,3.9748749128274463,0.0,0.0,97.82003563569941,93.84516072287197,93.84516072287198,0.0,0.0,0.0,0.0,4789.653307828146,1403.4856078051187,93.84516072287202,1.9643485906093903,41.59113509014281,0.23059834644266813,0.15373223096177877,63.19448716759293,8939.492154727697,200.0,0.0,0.05,0.04758626237002446,100,0.03,309.6569457816633,109.20010935774489,79.51625593758732,29.68385342015758,176.50445909554801,0.0,0.0,23.952377328370353,200.45683642391836,159.25086174327666,0.0,0.0,0.0,50.05075238553172,0.0,0.0,0.0,0.0,0.0,0.0,359.707698167195,750.0,301.934601069071,0.0,0.0006456753700394708,0.0,0.0,5461.016,52516.088673796,12500.0,1.801827085879142,11.974133269570368,71542.81588089588,71743.2727173198,-71383.56501915261,0.0,-71383.56501915261,141.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.32837115268744,37.53798572299932,16.97880384718527,0.0,0.0,0.0
3,1,51.267928464912444,137.87305311965832,0.1297049143634899,11.085206066590109,0.0,0.0,149.0879641006119,138.0027580340218,138.00275803402178,0.0,0.0,0.0,0.0,6970.3651291086535,2146.284454765936,138.0027580340218,3.0308340701953567,61.22449529676841,0.688329617426633,0.4588864116177554,123.27176643531696,17438.02407993994,200.0,0.0,0.05,0.03232638598445305,100,0.03,455.83247919372957,160.74956802724995,115.36216076733109,45.38740725991887,259.8245131404258,0.0,0.0,35.258398026054294,295.0829111664801,234.3510389787278,0.0,0.0,0.0,73.60147095147829,0.0,0.0,0.0,0.0,0.0,0.0,529.4339501452079,750.0,303.47263892301834,0.0,0.0019273229287945727,0.0,0.0,5691.524,58851.810394027,12500.0,2.6496529542532183,17.425912822771632,78116.88452604997,78411.96743721644,-77882.53348707124,0.0,-77882.53348707124,141.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.53463519921509,55.19987266674877,26.268250168057964,0.0,0.0,0.0
4,1,67.7189069972841,195.50704145739056,0.2565194509578723,21.043310189547597,0.0,0.0,216.80687109789602,195.76356090834844,195.76356090834847,0.0,0.0,0.0,0.0,9786.236658924081,3131.463673975654,195.76356090834844,4.4612530538206645,86.75113329743212,1.376294996874547,0.9175299979163647,207.72907473795814,29385.35491243156,200.0,0.0,0.05,0.0228143033000037,100,0.03,645.8850166449868,227.67435366680246,161.46319793978085,66.2111557270216,368.1544594876424,0.0,0.0,50.05620349054227,418.21066297818464,332.0815861512546,0.0,0.0,0.0,104.40723248445254,0.0,0.0,0.0,0.0,0.0,0.0,750.2922491294393,750.0,305.5042061329369,0.0,0.003853625991248732,0.0,0.0,6091.88,65277.23284812423,12500.0,3.758660369440291,24.465591647310205,84952.84515989991,85371.05582287809,-84620.76357374864,0.0,-84620.76357374864,141.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.38203454189022,78.30050721858862,39.0810191478696,0.0,0.0,0.0
5,1,52.23280683257954,233.90860972884633,0.4374724558537621,34.69359574577539,0.0,0.0,269.0396779304755,234.3460821847001,234.34608218470015,0.0,0.0,0.0,0.0,11642.913993675995,3912.4596859326857,234.34608218470015,5.602751292902154,104.46490170810296,2.3987393277097318,1.5991595518064878,308.1960775665449,43597.417132563445,200.0,0.0,0.05,0.01894575722855583,100,0.03,777.7686839804342,274.45332574218696,191.73613031785953,82.71719542432744,443.32814986884733,0.0,0.0,59.98720836940058,503.3153582382479,399.43790290735967,0.0,0.0,0.0,124.98457716517343,0.0,0.0,0.0,0.0,0.0,0.0,902.7532611456076,750.0,307.0711903379143,0.0,0.006716470117587249,0.0,0.0,5928.098,71661.65449004178,12500.0,4.499444777946244,29.107284984189988,91180.43712661194,91683.75248485019,-90780.99922370458,0.0,-90780.99922370458,141.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.57540368660602,93.7284618641864,48.04221663390773,0.0,0.0,0.0
6,1,50.70692364663094,268.9018172286607,0.6559290394662886,50.188855308979434,0.0,0.0,319.74660157710645,269.557746268127,269.55774626812695,0.0,0.0,0.0,0.0,13319.453489346382,4684.2491113373635,269.557746268127,6.737993489484235,120.90709367064584,3.662470777053616,2.441647184702411,422.9990532754347,59837.446076342996,200.0,0.0,0.05,0.01636931801584752,100,0.03,900.1851300341874,318.0056709752978,218.97881345391528,99.02685752138248,513.1055241194867,0.0,0.0,69.0739349394028,582.1794590588895,461.76980231829907,0.0,0.0,0.0,143.76413134300105,0.0,0.0,0.0,0.0,0.0,0.0,1043.9492613771886,750.0,308.59239804731317,0.0,0.010254918175750126,0.0,0.0,5979.659,78059.90319243845,12500.0,5.175508728348038,33.29863372336596,97636.63898785565,98218.81844691453,-97174.86918553735,0.0,-97174.86918553735,141.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.22516531671985,107.80628821214809,56.52629273925907,0.0,0.0,0.0
7,1,48.34800314300967,300.0383697324236,0.9085377746976327,67.1476972129946,0.0,0.0,368.0946047201158,300.9469075071212,270.4313234250033,30.51558408211804,0.0,0.0,0.0,14805.332474258053,5436.651257802152,300.94690750712147,7.8480837181368095,135.99670986668113,5.15595071754931,3.437300478366207,550.4025119462003,77859.9393399095,200.0,0.0,0.04959440574638374,0.01455926144563393,100,0.03,1003.8891543194928,349.5475691809562,236.89281481209662,112.6547543688596,577.1428373322213,0.0,0.0,77.19874780631457,654.341585138536,508.4250887003752,0.0,0.0,0.0,158.87751951941843,0.0,0.0,0.0,0.0,0.0,0.0,1162.7666738389112,750.0,310.04283814160345,0.0,0.014436662009138072,0.0,0.0,5970.56,84465.95414635578,12500.0,5.778180624136731,36.71308329692328,104039.06268508047,104693.404270219,-103530.6375963801,0.0,-103530.6375963801,141.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.3681958681961,120.35385248186125,64.22485915706417,0.0,0.0,0.0
8,1,51.321949921490834,333.0283286452448,1.1913468833824192,85.19687911297969,0.0,0.0,419.4165546416069,334.21967552862725,274.81674643939067,59.40292908923655,0.0,0.0,0.0,16383.929611509197,6248.584463512412,334.2196755286273,9.046290812926161,152.10645297495168,6.845676775930282,4.563784517286855,691.099503627935,97762.93578320768,200.0,0.0,0.04928905527186238,0.013021458082670032,100,0.03,1115.5352371849433,384.2093804644512,256.70205733030355,127.50732313414767,645.5093651351001,0.0,0.0,85.81649158538836,731.3258567204884,559.2917178616301,0.0,0.0,0.0,175.08233739717525,0.0,0.0,0.0,0.0,0.0,0.0,1290.6175745821186,750.0,311.58249663924823,0.0,0.019167894972604793,0.0,0.0,6031.22,90907.28061420326,12500.0,6.417017770149642,40.37742060959898,110546.89671711723,111278.22257383772,-109987.60499925559,0.0,-109987.60499925559,141.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.2504908180827,133.65293934324842,72.31624536729619,0.0,0.0,0.0
9,1,63.335024344200804,376.7858233874462,1.505350489775774,104.46040510858585,0.0,0.0,482.75157898580784,378.291173877222,288.68862545839244,89.60254841882953,0.0,0.0,0.0,18483.650895973755,7254.898348432848,378.291173877222,10.532030281540376,173.02423052188269,8.705521345756772,5.803680897171182,849.6145319068897,120186.47168354863,200.0,0.0,0.049052554702765434,0.011450075547571046,100,0.03,1262.5415947810768,431.05556425262034,284.78808523350057,146.2674790191198,734.2802294887658,0.0,0.0,97.20580103969058,831.4860305284565,628.0320544048011,0.0,0.0,0.0,196.97649015218082,0.0,0.0,0.0,0.0,0.0,0.0,1459.5180849332576,750.0,313.48254736957426,0.0,0.024375459768118966,0.0,0.0,6273.860000000001,97438.92079935309,12500.0,7.263190538442662,45.33351483407859,117328.88442755496,118160.37045808342,-116700.85237315016,0.0,-116700.85237315016,141.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.12400834472163,151.26693520132977,82.90023033117058,0.0,0.0,0.0
10,1,78.31903386593103,433.44666473726454,1.8595581703315638,125.76438994414278,0.0,0.0,561.0706128517389,435.3062229075961,306.0521223261598,129.25410058143666,0.0,0.0,0.0,21206.825385254833,8505.893785916294,435.30622290759624,12.379789293151596,199.79056431280094,10.781445974895977,7.187630649930651,1031.4360195948639,145906.93933188944,200.0,0.0,0.04881229264568659,0.009918591820410539,100,0.03,1450.3459434823073,490.5532436014531,321.17706251021957,169.37618109123355,847.8711968306645,0.0,0.0,111.92150305018696,959.7926998808515,715.8230104544974,0.0,0.0,0.0,225.26976685304152,0.0,0.0,0.0,0.0,0.0,0.0,1675.615710335349,750.0,315.8321183855522,0.0,0.030188048729708736,0.0,0.0,6577.16,104086.84219642177,12500.0,8.357879479825854,51.75768833955172,124289.98007067543,125249.77277055629,-123574.15706022094,0.0,-123574.15706022094,141.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.76175250691426,174.05151013628344,96.49296026439849,0.0,0.0,0.0
