driver,base,aggressive,conservative,swing
Card spend per active card (S4),-14110495.330944136,-6299548.677654102,-20477252.669600837,14177703.991946734
Card activation rate (S5),-14110495.330944136,-11308598.387404704,-17847973.999794405,6539375.6123897005
PM share of interchange (S3),-14110495.330944136,-11355704.489078403,-17715526.558275245,6359822.069196843
Card programme fixed costs (F27),-14110495.330944136,-13439995.330944136,-15565495.330944136,2125500.0
Payment archetype mix (S27),-14110495.330944136,-13462422.898339536,-15369384.899989799,1906962.0016502626
Rail cost per collection (S1),-14110495.330944136,-13919109.309778526,-15526751.887569644,1607642.5777911171
Family attach (S11),-14110495.330944136,-13693786.598020483,-14388301.15289324,694514.5548727568
Vault storage rate (S14),-14110495.330944136,-13968096.757183984,-14327447.152610537,359350.39542655274
Spot attach (S45),-14110495.330944136,-14010048.726665726,-14177940.108371373,167891.38170564733
Self-custody leakage (S10),-14110495.330944136,-14162309.5707988,-14012956.624912519,149352.9458862804
Credit take-up (S8),-14110495.330944136,-14079639.297818104,-14136208.691882495,56569.39406439103
Facility turnover (S40),-14110495.330944136,-14101385.604298517,-14118904.309386248,17518.70508773066
Y1 opex exit run-rate uplift (S48),-14110495.330944136,-14109648.821153047,-14111624.01066559,1975.1895125433803
