driver,base,aggressive,conservative,swing
Card spend per active card (S4),13082257.883741606,11317953.35911813,14536431.151854549,3218477.7927364185
Card activation rate (S5),13082257.883741606,12425105.675623473,13959315.889351675,1534210.2137282025
Card programme fixed costs (F27),13082257.883741606,12633757.883741608,14057257.883741606,1423499.9999999981
PM share of interchange (S3),13082257.883741606,12492888.902382374,13852971.16705753,1360082.2646751553
"Fabrication premium (F4, PROVISIONAL)",13082257.883741606,13088898.905569317,13948183.741065836,859284.8354965188
Family attach (S11),13082257.883741606,12868426.162653608,13224812.364466937,356386.201813329
Spot attach (S45),13082257.883741606,12852955.28892474,13115959.807269083,263004.5183443427
Payment archetype mix (S27),13082257.883741606,13002334.170687832,13263180.054006467,260845.8833186347
Regional ceiling (S22),13082257.883741606,13165831.967098111,12931581.112386191,234250.85471192002
Vault storage rate (S14),13082257.883741606,13042257.408626178,13145738.466240775,103481.05761459656
Redemption rate (S32),13082257.883741606,13051160.874872737,13133071.375434682,81910.50056194514
Self-custody leakage (S10),13082257.883741606,13101674.98341854,13040652.321384568,61022.6620339714
Average ticket by region (S55),13082257.883741606,13052514.791781146,13108708.334533388,56193.542752241716
Lapsed-holder multiplier (S33),13082257.883741606,13077332.792027935,13090659.442550622,13326.650522686541
Credit take-up (S8),13082257.883741606,13075050.252909506,13088264.242768362,13213.989858856425
Facility turnover (S40),13082257.883741606,13080129.951535448,13084222.128854988,4092.177319539711
Y1 opex exit run-rate uplift (S48),13082257.883741606,13081408.612637296,13083390.245214017,1981.632576720789
Floor-band share by region (S54),13082257.883741606,13082266.12686373,13082249.640619483,16.48624424636364
