year,segment,ticket,rail_case,gross_margin,rail_cost,net_margin,net_margin_pct
1,S1,75.0,Base,1.6125,0.25,1.3625,1.817
1,S1,75.0,Conservative,1.6125,1.36,0.2525,0.337
1,S2,40.0,Base,0.86,0.25,0.61,1.525
1,S2,40.0,Conservative,0.86,1.36,-0.5,-1.25
1,S3,20.0,Base,0.43,0.25,0.18,0.9
1,S3,20.0,Conservative,0.43,1.36,-0.93,-4.65
1,S4,40.0,Base,0.86,0.25,0.61,1.525
1,S4,40.0,Conservative,0.86,1.36,-0.5,-1.25
1,S5,30.0,Base,0.645,0.25,0.395,1.317
1,S5,30.0,Conservative,0.645,1.36,-0.715,-2.383
1,S6,75.0,Base,1.6125,0.25,1.3625,1.817
1,S6,75.0,Conservative,1.6125,1.36,0.2525,0.337
2,S1,75.0,Base,1.6125,0.25,1.3625,1.817
2,S1,75.0,Conservative,1.6125,1.36,0.2525,0.337
2,S2,40.0,Base,0.86,0.25,0.61,1.525
2,S2,40.0,Conservative,0.86,1.36,-0.5,-1.25
2,S3,20.0,Base,0.43,0.25,0.18,0.9
2,S3,20.0,Conservative,0.43,1.36,-0.93,-4.65
2,S4,40.0,Base,0.86,0.25,0.61,1.525
2,S4,40.0,Conservative,0.86,1.36,-0.5,-1.25
2,S5,30.0,Base,0.645,0.25,0.395,1.317
2,S5,30.0,Conservative,0.645,1.36,-0.715,-2.383
2,S6,75.0,Base,1.6125,0.25,1.3625,1.817
2,S6,75.0,Conservative,1.6125,1.36,0.2525,0.337
3,S1,75.0,Base,1.56,0.25,1.31,1.747
3,S1,75.0,Conservative,1.56,1.36,0.2,0.267
3,S2,40.0,Base,0.832,0.25,0.582,1.455
3,S2,40.0,Conservative,0.832,1.36,-0.528,-1.32
3,S3,20.0,Base,0.416,0.25,0.166,0.83
3,S3,20.0,Conservative,0.416,1.36,-0.944,-4.72
3,S4,40.0,Base,0.832,0.25,0.582,1.455
3,S4,40.0,Conservative,0.832,1.36,-0.528,-1.32
3,S5,30.0,Base,0.624,0.25,0.374,1.247
3,S5,30.0,Conservative,0.624,1.36,-0.736,-2.453
3,S6,75.0,Base,1.56,0.25,1.31,1.747
3,S6,75.0,Conservative,1.56,1.36,0.2,0.267
4,S1,75.0,Base,1.56,0.25,1.31,1.747
4,S1,75.0,Conservative,1.56,1.36,0.2,0.267
4,S2,40.0,Base,0.832,0.25,0.582,1.455
4,S2,40.0,Conservative,0.832,1.36,-0.528,-1.32
4,S3,20.0,Base,0.416,0.25,0.166,0.83
4,S3,20.0,Conservative,0.416,1.36,-0.944,-4.72
4,S4,40.0,Base,0.832,0.25,0.582,1.455
4,S4,40.0,Conservative,0.832,1.36,-0.528,-1.32
4,S5,30.0,Base,0.624,0.25,0.374,1.247
4,S5,30.0,Conservative,0.624,1.36,-0.736,-2.453
4,S6,75.0,Base,1.56,0.25,1.31,1.747
4,S6,75.0,Conservative,1.56,1.36,0.2,0.267
