year,region,region_name,band,share_of_region,ticket,fee,premium,gross_margin_usd,gross_margin_pct,rail_memo_usd_NOT_deducted,net_margin_usd,net_margin_pct
1,R1,UAE Indian,floor,0.4,20.0,0.05,0.015,0.715,3.575,0.25,0.715,3.575
1,R1,UAE Indian,standard,0.6,50.0,0.05,0.015,1.7875,3.575,0.25,1.7875,3.575
1,R2,UAE other South Asian,floor,0.6,20.0,0.05,0.015,0.715,3.575,0.25,0.715,3.575
1,R2,UAE other South Asian,standard,0.4,35.0,0.05,0.015,1.2513,3.575,0.25,1.2513,3.575
1,R3,Oman,floor,0.58,20.0,0.05,0.015,0.715,3.575,0.25,0.715,3.575
1,R3,Oman,standard,0.42000000000000004,34.285714285714285,0.05,0.015,1.2257,3.575,0.25,1.2257,3.575
1,R4,India resident,floor,0.25,20.0,0.05,0.015,0.715,3.575,0.25,0.715,3.575
1,R4,India resident,standard,0.75,33.333333333333336,0.05,0.015,1.1917,3.575,0.25,1.1917,3.575
2,R1,UAE Indian,floor,0.4,20.0,0.05,0.015,0.715,3.575,0.25,0.715,3.575
2,R1,UAE Indian,standard,0.6,50.0,0.05,0.015,1.7875,3.575,0.25,1.7875,3.575
2,R2,UAE other South Asian,floor,0.6,20.0,0.05,0.015,0.715,3.575,0.25,0.715,3.575
2,R2,UAE other South Asian,standard,0.4,35.0,0.05,0.015,1.2513,3.575,0.25,1.2513,3.575
2,R3,Oman,floor,0.58,20.0,0.05,0.015,0.715,3.575,0.25,0.715,3.575
2,R3,Oman,standard,0.42000000000000004,34.285714285714285,0.05,0.015,1.2257,3.575,0.25,1.2257,3.575
2,R4,India resident,floor,0.25,20.0,0.05,0.015,0.715,3.575,0.25,0.715,3.575
2,R4,India resident,standard,0.75,33.333333333333336,0.05,0.015,1.1917,3.575,0.25,1.1917,3.575
3,R1,UAE Indian,floor,0.4,20.0,0.04,0.0095,0.6176,3.088,0.25,0.6176,3.088
3,R1,UAE Indian,standard,0.6,50.0,0.04,0.0095,1.544,3.088,0.25,1.544,3.088
3,R2,UAE other South Asian,floor,0.6,20.0,0.04,0.0095,0.6176,3.088,0.25,0.6176,3.088
3,R2,UAE other South Asian,standard,0.4,35.0,0.04,0.0095,1.0808,3.088,0.25,1.0808,3.088
