line,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,Y3,Y4,Y5,Y6,Y7
new_accounts,49.70103309914693,48.12972548558615,51.28794307111748,67.75559404991463,52.27101674392393,50.75038735785438,48.503187014142924,51.508862115036194,63.59478293063819,78.68471397060377,72.57301535904533,54.3889292247832,171.83225037481995,156.0050771300335,156.7969876041756,199.4157516404257,150.34100525224042,142.37846440371334,136.52600860252133,147.24355181247364,184.42364164721704,232.49565051855396,216.79236341000268,164.01476304245782,4165.1494437549245,6126.530119505712,8049.912152838755,9706.885197187397,10955.138845335518
contributing,49.70103309914693,93.81143603800507,137.90292351000863,195.5712674402519,234.00615701737306,269.0357009557708,300.3180173401766,333.474509966116,377.4597602924505,434.43872040485763,482.27497051522664,509.8353570409114,654.4837868199273,773.5401206014869,886.517874526615,1036.2430305572875,1128.467056878479,1209.50331283255,1282.4195759318466,1364.397902851227,1481.0817467061645,1640.5800701972535,1775.9554156296742,1852.6144815830633,4320.723759360459,7477.924584656695,11139.215925492552,14992.11477389353,18713.24953103162
reduced,0.0,0.0444476339005671,0.12971450389681066,0.2565560494385031,0.4375675157002402,0.6561137852400631,0.9088465317901933,1.1919121166343238,1.5063263369963518,1.8611560489094343,2.267681870538186,2.7176347903896327,3.1923313621681113,3.795287612725099,4.5056429479651925,5.318363969162667,6.266008937160295,7.297443345277309,8.400774241047502,9.566539216926547,10.80052363732516,12.131850687905633,13.597885707433674,15.177031181042691,46.26455129695443,102.13447629618108,183.74540227536298,288.6306626343743,411.0979482736897
lapsed_holding,0.0,3.974874912827446,11.086063641945133,21.046472216074804,34.7015879166158,50.20388506653267,67.17202294971963,85.24132685397231,104.53644523791397,125.88736938419754,150.2176088112451,176.59619859049207,203.30532261451762,237.75806849591976,277.2488619429328,320.7602144846745,370.2841687692683,421.3862243740739,473.26158173204556,525.4671993110384,578.7658581874349,635.5171881206234,698.3591644690174,765.1798736029114,1900.0587475990676,3453.7844063636962,5221.397303622204,7058.8596468911865,8802.216691831487
dormant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8930412165146293,5.511126113309054,10.877648160123124,18.52302783858056,27.73174627530036,38.36280352478349,50.25664586300471,63.46380035848898,78.37847040218543,95.48747701184513,114.44331949341097,645.517091358872,2005.2508018044932,4544.647790569701,8456.286535728124,13824.46629334594
closed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
holding,49.70103309914693,97.83075858473308,149.1187016558506,216.87429570576518,269.1453124496891,319.8956998075435,368.3988868216864,419.90774893672267,483.50253186736074,562.1872458379646,634.7602611970099,689.149190421793,860.9814407966131,1016.9865179266465,1173.783505530822,1373.1992571712476,1523.540262423488,1665.9187268272015,1802.444735429723,1949.6882872421963,2134.111928889414,2366.607579407968,2583.3999428179704,2747.414705860428,6912.564149615353,13039.094269121066,21089.00642195982,30795.891619147216,41751.03046448274
live_accounts,49.70103309914693,93.85588367190563,138.03263801390545,195.8278234896904,234.4437245330733,269.69181474101083,301.22686387196677,334.66642208275033,378.9660866294468,436.29987645376707,484.5426523857648,512.552991831301,657.6761181820955,777.3354082142121,891.0235174745801,1041.5613945264502,1134.7330658156393,1216.8007561778272,1290.820350172894,1373.9644420681534,1491.8822703434896,1652.711920885159,1789.553301337108,1867.7915127641058,4366.988310657413,7580.059060952875,11322.961327767915,15280.745436527905,19124.34747930531
tier_none,49.70103309914693,93.85588367190563,138.03263801390543,195.8278234896904,234.4437245330733,269.69181474101083,281.7825378052244,295.838816198508,319.028862707042,348.3219701239584,373.9458098131109,379.5153578023512,502.7048005173771,599.4238571829795,685.5970361892486,802.8006205509324,865.1517201530835,923.608141832168,928.3951970519275,947.5160289450159,1000.4349361403325,1079.1182935010872,1152.2867794014628,1169.8293015944028,2434.3300234910043,3701.9701042023607,4970.333470212319,6100.294253445256,6991.658192916782
tier_silver,0.0,0.0,0.0,0.0,0.0,0.0,19.44432606674238,38.8276058842422,59.93722392240484,87.97790632980862,110.59684257265386,133.03763402894984,151.45100889299403,166.670227769534,175.91788879240414,190.0832735608674,200.96377325461305,202.880853412535,254.31949299829748,301.1647616329959,348.6527103269818,410.84148377713956,451.45166291399397,488.08622730980244,1108.6225910172984,1854.1729811599087,2648.366222808155,3410.324007928343,4057.9388837458287
tier_gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.520308771724263,11.241323261698595,29.508592492927523,48.67750041465022,68.61757240794287,90.31176093312433,108.10566012266906,125.28365149014178,142.79462387617525,162.752143606932,185.81485902165105,209.87598385990066,824.0356961491103,1889.964818494485,3182.883057309847,4500.019698163353,5780.3611842650025
tier_platinum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.9511570961224,521.3785774375924,1220.471354569025,2067.406082568552
tier_sovereign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.63612242193221,226.9831358091464
inflow_sip,1888.6392577675833,3565.8568650239054,5243.294526969954,7437.608951866658,8902.29801952128,10238.44725337981,11187.32915096672,12212.72887146272,13606.656141604366,15438.316369044413,16977.063986050616,17854.59543321502,22418.024579915727,26176.646145021714,29751.168169542158,34507.844452684236,37436.74848498965,40013.9569166038,42338.3447812489,44956.980636477514,48689.99884557321,53799.03871725785,58141.71536510019,60609.13283041112,1234202.514758007,2296427.4601488113,3593691.6478720554,5027913.893577371,6479233.368905417
inflow_spot,794.5041481119299,1583.7525001854797,2442.7217095514084,3585.4340972962395,4507.693152285371,5426.533609035159,6207.977805167949,7046.335840167151,8065.342252986933,9310.273190932472,10500.326531756693,11469.791080745925,13955.257074214229,16263.628413807664,18605.67031470952,21527.526071779208,23832.034217168268,26051.054745745078,28211.842493480275,30537.45704025615,33380.12166502984,36892.02777730326,40236.64053288589,42919.46643377938,900461.4949086444,1828099.631627608,3086880.8403177196,4632712.19741719,6386328.219587363
collection_events,49.70103309914693,93.85588367190564,138.03263801390545,195.8278234896904,234.4437245330733,269.69181474101083,301.22686387196677,334.6664220827503,378.96608662944675,436.299876453767,484.54265238576477,512.552991831301,657.6761181820955,777.3354082142122,891.0235174745801,1041.5613945264502,1134.733065815639,1216.8007561778272,1290.8203501728938,1373.9644420681534,1491.8822703434896,1652.7119208851589,1789.5533013371082,1867.7915127641063,38947.99394627228,73435.00105465217,115435.63705733405,161783.1725405612,208609.77186879827
spot_events,0.9857371564664142,1.9649534741755332,3.030672096217628,4.44842940111196,5.5926714048205595,6.732671971507642,7.853266798442719,9.057523678440022,10.527024465412138,12.327341297880011,14.045457278562402,15.438906337697452,19.188615777048856,22.66734758224655,26.20008805094346,30.616302404360756,34.10367221995434,37.46838868614767,40.75026902074927,44.27892550075809,48.58582895483644,53.89810921102428,58.95471840889014,63.01246300890415,1357.4835720906603,2801.0315913955956,4751.281785536154,7137.440087021921,9835.836486279803
grams_bought,18.019130747812362,34.583125243524066,51.616820477133416,74.02722251311148,90.05720071551193,105.20098840162746,116.8530546237518,129.40088457848557,145.6391137844877,166.34470414781572,184.706686310012,197.148400942379,244.51915435313535,285.3072928007124,325.1095526105888,376.7528489798334,411.97784831890004,444.2602082923156,474.5196235128507,507.85365910197316,552.1431919764184,610.1946726498372,661.9569447162382,696.6877505239779,14520.029880847143,28074.8452813268,45501.75892216846,66177.03622175295,88177.09443329231
grams_withdrawn,0.0,0.18897673960150665,0.569519835274645,1.1494437380042921,2.0215250430583045,3.110495354985505,4.409275008276497,5.860782633800496,7.442183610224312,9.187279375820534,11.237116849040966,13.61312756725236,15.600691134180448,18.396734515833067,21.7696292650697,25.50733099105906,30.198252058046467,35.38395597629883,41.00663052377808,46.92756535331885,53.01022697225291,59.36058042130248,66.65309177132207,75.0306388223238,1801.8928901693837,4626.306376995356,9355.140387160676,16180.973116191837,25025.272753406
grams_redeemed,0.0,0.12598449306767112,0.3796798901830968,0.7662958253361948,1.3476833620388697,2.0736635699903365,2.939516672184331,3.907188422533664,4.961455740149542,6.12485291721369,7.491411232693977,9.07541837816824,10.4004607561203,12.264489677222045,14.513086176713133,17.004887327372707,20.132168038697646,23.589303984199223,27.33775368251872,31.285043568879228,35.340151314835275,39.57372028086832,44.435394514214714,50.02042588154919,1201.261926779589,3084.2042513302376,6236.760258107118,10787.315410794557,16683.515168937334
grams_closing,18.019130747812362,52.28729475866725,102.95491551034293,175.06639846011393,261.75439077052863,361.7712202471802,471.2754831904712,590.9083967126227,724.1438711467365,875.176443001518,1041.154601229795,1215.6144562267532,1434.1324586895878,1688.7785272972453,1977.6053644660515,2311.845995127453,2673.4934233496097,3058.7803716814274,3464.955610987981,3894.5966611677563,4358.3894748570865,4869.649846804753,5420.518305235455,5992.154991055561,17509.030054953724,37873.36470795494,67783.22298485563,106991.97067962225,153460.27719057119
grams_recycled,0.0,0.12598449306767112,0.3796798901830968,0.7662958253361948,1.3476833620388697,2.0736635699903365,2.939516672184331,3.907188422533664,4.961455740149542,6.12485291721369,7.491411232693977,9.07541837816824,10.4004607561203,12.264489677222045,14.513086176713133,17.004887327372707,20.132168038697646,23.589303984199223,27.33775368251872,31.285043568879228,19.01173330430646,12.038832818899635,10.232990828602567,5.8141700016752225,180.80873388695483,233.56913723699626,272.67787793857474,288.82442060471294,1180.9033152930215
grams_sold_back,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.328418010528814,27.534887461968687,34.20240368561215,44.206255879873964,1020.4531928926342,2850.635114093241,5964.082380168543,10498.490990189846,15502.61185364431
